www.thebabyfold.org	12.1.208.54
www.ifccfbi.gov	12.1.224.109
www.ucexpress.com	12.10.115.219
www.mocadv.org	12.10.125.28
www.ouraaa.com	12.10.127.132
www.engage.com	12.10.216.131
www.kvnet.org	12.10.53.34
www.carlton-bates.com	12.10.70.4
www.spectrumresources.com	12.101.10.108
www.shaksper.net	12.101.12.90
adbanker.com	12.102.141.197
www.memorytek.com	12.102.89.5
www.digizip.com	12.103.138.44
worldpress.org	12.103.226.110
www.acponline.org	12.104.109.254
www.allaboutvision.com	12.104.122.106
www.cgfns.org	12.104.125.40
www.pelco.com	12.104.148.5
www.linns.com	12.104.174.32
www.iowasexoffenders.com	12.104.194.55
www.rightstuf.com	12.104.197.2
www.harrahs.com	12.104.203.122
mbs.microsoft.com	12.104.245.15
www.greatplains.com	12.104.245.85
roskatrack.roskadirect.com	12.104.54.173
www.heraldnet.com	12.104.73.20
www.spie.org	12.104.88.66
tonesgraphicsgames.nokia-asia.com	12.105.128.50
www.mtx.com	12.105.186.196
www.motel6.com	12.106.209.235
www.redroof.com	12.106.209.236
12.106.209.239	12.106.209.239
counter2.hitslink.com	12.106.67.26
counter2.hitslink.com	12.106.67.4
counter2.hitslink.com	12.106.67.5
counter2.hitslink.com	12.106.67.8
ultrashock.com	12.106.77.119
questsupportlink.quest.com	12.106.87.24
www.quest.com	12.106.87.32
www.aad.org	12.107.100.100
test.asds-net.org	12.107.100.154
www.asds-net.org	12.107.100.67
www.shamash.org	12.107.129.80
www.orps.state.ny.us	12.107.137.202
www.gaza.com	12.107.162.76
www.classicalmythology.org	12.107.205.25
www.us.oup.com	12.107.205.36
www.us.oup.com	12.107.205.37
www.oup.com	12.107.205.64
www.oup.com	12.107.205.65
www.oup.co.uk	12.107.205.66
www.oup.co.uk	12.107.205.67
www.spheris.com	12.107.229.146
kirin.com	12.107.28.122
www.njleg.state.nj.us	12.107.80.66
www.acmoore.com	12.108.108.157
www.ddiworld.com	12.108.121.14
12.108.175.91	12.108.175.91
www.abit-usa.com	12.108.181.150
www.cashwa.com	12.108.194.88
www.lyondell.com	12.109.0.56
www.dragg.net	12.109.100.22
www.sellingpower.com	12.109.157.70
gfx.sheetmusicplus.com	12.109.175.142
gfx.sheetmusicplus.com	12.109.175.92
www.sterlinghousing.com	12.109.20.12
www.ardemgaz.com	12.109.201.2
family.org	12.109.227.30
www.boundless.org	12.109.227.31
dvlp.boundless.org	12.109.227.34
www.ubhonline.com	12.109.242.60
www.familymoney.com	12.109.245.15
msnwomen.lhj.com	12.109.245.28
ww4.bhg.com	12.109.245.29
www.homeandfamilynetwork.com	12.109.245.63
www.agriculture.com	12.109.245.64
www.americanbaby.com	12.109.245.71
www.jobsataramco.com	12.109.27.9
www.teach12.com	12.109.33.135
www.airfare.com	12.109.36.50
www.sms.com	12.109.39.42
www.aeb.org	12.11.136.146
www.ptc.com	12.11.148.13
erc.msh.org	12.11.159.181
www.bostonphoenix.com	12.11.184.15
www.naturessunshine.com	12.110.1.100
www.synergyworldwide.net	12.110.1.102
www.delphipages.com	12.110.13.113
chat.islanddefjam.com:8080	12.110.192.33
www4.islanddefjam.com	12.110.192.47
spencer.idjmg.com	12.110.193.53
www.hoobastank.com	12.110.193.54
murderincrecords.com	12.110.193.55
www.rocafella.com	12.110.193.85
www.stampinup.com	12.110.23.10
www.oasisresort.com	12.110.54.176
www.selinc.com	12.110.71.2
www.lesschwab.com	12.111.178.20
www.loveandmercy.org	12.111.201.103
www.yellowbook.com	12.111.223.30
pma2004.pmai.org	12.111.230.111
www.nsf.org	12.111.235.84
www.stanleyproto.com	12.111.49.4
www.mortgagepages.com	12.111.80.134
www.dirtywater.com	12.111.80.75
motionslow.espn.go.com	12.120.1.20
csl.nba.com	12.120.101.15
motionslow.espn.go.com	12.120.109.20
images.meredith.com	12.120.13.11
english.aljazeera.net	12.120.13.19
images.meredith.com	12.120.17.11
graphics.jsonline.com	12.120.17.12
adsatt.movies.starwave.com	12.120.21.15
motionslow.espn.go.com	12.120.21.20
radar.accuweather.com	12.120.25.12
graphics.jsonline.com	12.120.29.12
cached.ukathletics.com	12.120.33.11
motionslow.espn.go.com	12.120.33.20
csl.nba.com	12.120.37.15
csl.nba.com	12.120.41.15
adsatt.movies.starwave.com	12.120.45.15
motionslow.espn.go.com	12.120.45.20
graphics.jsonline.com	12.120.5.12
download.quest.com.att-idns.net	12.120.5.14
motionslow.espn.go.com	12.120.69.20
csl.nba.com	12.120.81.15
images.meredith.com	12.120.9.11
english.aljazeera.net	12.120.9.19
www.fafsa.com	12.126.199.114
www.captaris.com	12.129.11.165
www.ezcardinfo.com	12.129.128.205
www.searscard.com	12.129.128.212
www.myccinfo.com	12.129.128.219
discuss.washingtonpost.com	12.129.146.37
www.washingtonpost.com	12.129.147.10
www.adventuredivas.com	12.129.15.10
www.giftcertificates.com	12.129.15.140
images.vppamt.com	12.129.176.215
xml.vpptechnologies.com	12.129.176.46
partners.ditto.com	12.129.176.47
www.ditto.com	12.129.176.49
www.animara.net	12.129.198.100
www.web2000.us	12.129.198.126
www.animekrazy.com	12.129.198.128
www.freesavers.org	12.129.198.129
www.ariga.com	12.129.198.130
icedhouse.com	12.129.198.131
www.bkrmarketing.com	12.129.198.132
www.burmatoday.net	12.129.198.133
www.basenji.org	12.129.198.134
popk.net	12.129.198.135
host36.ipowerweb.com	12.129.198.136
www.learnaboutgolf.com	12.129.198.137
daforums.com	12.129.198.139
javagames.ring4tonez.com	12.129.198.140
www.oldcarbooks.com	12.129.198.220
img.igl.net	12.129.199.229
cgi3.igl.net	12.129.199.233
www.myleague.com	12.129.199.244
www.igl.net	12.129.199.253
www.pikeplacemarket.org	12.129.20.171
citybank.com	12.129.20.182
www.wmplugins.com	12.129.20.195
windowsmedia.saltmine.com	12.129.20.199
adserver.contagiousliving.com	12.129.201.43
new.sendafriend.com	12.129.201.50
new.feelgoodpages.com	12.129.201.51
new.sacredpages.com	12.129.201.52
feelgoodpages.com	12.129.201.99
www.carsdirect.com	12.129.202.70
www.redbullu.com	12.129.203.117
www.m-w.com	12.129.203.36
www.wordcentral.com	12.129.203.37
m-w.com	12.129.203.38
www.wordcentral.com	12.129.203.39
www.ratedtoons.com	12.129.204.105
www.gamerival.com	12.129.204.107
www.halfanorange.com	12.129.204.109
blesstheday.com	12.129.204.111
www.whoohoo.net	12.129.204.119
www.partner-source.com	12.129.204.122
www.yourbabyphotos.com	12.129.204.123
www.flowgo.com	12.129.204.125
www.funpageland.com	12.129.204.128
perfectgreetings.com	12.129.204.138
www.funforwards.com	12.129.204.140
www.ishaah.com	12.129.204.149
www.expage.com	12.129.204.15
justsaywow.com	12.129.204.152
funnygreetings.com	12.129.204.157
www.euniverse.com	12.129.204.158
www.funone.com	12.129.204.159
i.expage.com	12.129.204.16
ads.euniverseads.com	12.129.204.160
www.castlemountains.com	12.129.204.161
www.debsfunpages.com	12.129.204.162
www.funstun.com	12.129.204.163
media.euniverse.com	12.129.204.164
www.cutestuf.com	12.129.204.165
popups.quickinspirations.com	12.129.204.171
www.intelligentx.com	12.129.204.176
www.send4fun.com	12.129.204.178
members.expage.com	12.129.204.179
www.allyoucanink.com	12.129.204.181
www.increaseyourhealth.com	12.129.204.183
www.bigfatbaby.com	12.129.204.187
www.madblast.com	12.129.204.189
c.flowgo.com	12.129.204.192
www.gotlaughs.com	12.129.204.199
www.webspirations.net	12.129.204.202
lolfun.com	12.129.204.203
www.infobeat.com	12.129.204.207
cashgames.skilljam.com	12.129.204.208
www.perfectnav.com	12.129.204.221
search.perfectnav.com	12.129.204.222
tracking.thunderdownloads.com	12.129.204.223
www.femaleadvantage.com	12.129.204.47
www.coolquiz.com	12.129.204.51
www.eprank.com	12.129.204.55
www.zonebilling.com	12.129.204.59
media.smilepop.com	12.129.204.73
smilepop.com	12.129.204.75
celtavigo.expage.com	12.129.204.78
www.netlaughter.com	12.129.204.89
www.selfnetwork.com	12.129.204.93
www.sirsearch.com	12.129.205.102
www.incredifind.com	12.129.205.105
media.gamerival.com	12.129.205.107
popups.ad-logics.com	12.129.205.120
www.funtown.com	12.129.205.142
i.laih.com	12.129.205.144
www.soyouwanna.com	12.129.205.149
www.wotch.com	12.129.205.159
ads.partner2profit.com	12.129.205.164
hydroderm.increaseyourhealth.com	12.129.205.166
imp.partner2profit.com	12.129.205.178
politicaltoons.com	12.129.205.196
www.myfunstart.com	12.129.205.206
www.cursorzone.com	12.129.205.207
update.thunderdownloads.com	12.129.205.220
bodyshape.increaseyourhealth.com	12.129.205.92
www.24hourpaycheck.com	12.129.205.95
images.contagiousliving.com	12.129.205.96
www.easymessage.net	12.129.206.101
www.flash-button-maker.com	12.129.206.102
www.monkeyconspiracy.com	12.129.206.103
www.process-nmr.com	12.129.206.104
cliffsgunsmithing.com	12.129.206.105
www.coolingstore.com	12.129.206.106
goddoubleplusblessamerica.org	12.129.206.107
www.1st-autoparts.com	12.129.206.109
100best-web-hosting.com	12.129.206.111
www.qualitysavers.to	12.129.206.112
www.ammarusa.com	12.129.206.113
www.minihttpserver.net	12.129.206.20
www.ordinateurslaval.ca	12.129.206.220
www.jokenfun.com	12.129.206.254
www.survivorsucks.org	12.129.206.35
www.eftaxias.gr	12.129.211.105
www.angeldoorway.com	12.129.211.119
www.ancientsoft.com	12.129.211.120
jeylanspoetry.com	12.129.211.121
brocksolid.com	12.129.211.122
www.argusnetsec.com	12.129.211.123
www.bluemarble.com	12.129.211.124
www.bluekangaroobooks.com	12.129.211.125
divine-order.com	12.129.211.141
www.insaneplay.com	12.129.211.142
www.audubonnaturalist.org	12.129.211.143
www.jbemmerl.com	12.129.211.144
www.aperfectworld.org	12.129.211.145
imports4you.com	12.129.225.114
www.borimusic.com	12.129.225.115
www.eddiem.com	12.129.225.116
www.dbl-webdesign.com	12.129.225.117
www.homeofchat.com	12.129.225.118
www.alansmind.com	12.129.225.138
ebonymodelsonline.com	12.129.225.139
www.burtinle.com	12.129.225.140
www.online-motorcycle-parts.com	12.129.225.163
hellokitty-bargain.com	12.129.225.164
energeticaudio.com	12.129.225.165
schooltree.org	12.129.225.166
www.elvish.org	12.129.225.201
www.sudan.com	12.129.225.222
www.screensavers-tlc.com	12.129.225.254
www.openwar.net	12.129.229.189
www.sendfunpages.com	12.129.229.190
jenofenology.com	12.129.229.191
www.pophotties.com	12.129.229.193
dastardlyweasel.com	12.129.229.196
www.maraudersmagic.com	12.129.229.197
www.altermeta.com	12.129.229.198
www.amazings.com	12.129.229.200
www.amazoncastle.com	12.129.229.214
www.beerlula.com	12.129.229.215
rs02.securehostserver.com	12.129.229.216
www.odportal.com	12.129.229.241
www.rrnspace.com	12.129.229.246
www.yesnexus.com	12.129.229.247
bodya.com	12.129.229.62
www.yahoo4esf.com	12.129.229.85
www.islamicbanners.com	12.129.237.100
www.paidsurveys.com	12.129.237.108
www.hotmetalradio.com	12.129.237.120
www.pakgift.com	12.129.237.121
www.thedesi.com	12.129.237.145
www.detc.org	12.129.237.148
www.redstreakscooter.com	12.129.237.154
www.get-paid-for-surveys.net	12.129.237.159
www.creditaxis.com	12.129.237.163
www.apollo-tech.com	12.129.237.164
www.sharoncuneta.com	12.129.237.170
www.legalscholar.com	12.129.237.172
www.wlcastleman.com	12.129.237.18
www.noabort.net	12.129.237.22
host131.ipowerweb.com	12.129.237.231
www.fearfactory.com	12.129.237.24
12.129.237.252:85	12.129.237.252
dimespot.com	12.129.237.26
www.wyomingwebdesign.com	12.129.237.51
www.adksportsfitness.com	12.129.237.59
www.diversified1.net	12.129.237.67
www.puber18.com	12.129.237.70
www.games-911.com	12.129.237.71
catharsiscomic.com	12.129.237.86
www.ideaspot.net	12.129.237.96
fdc.mortgage101.com	12.129.24.135
booger.responsebase.com	12.129.248.241
progressives.realtimegaming.com	12.129.69.226
notice.knowledgestorm.com	12.129.71.102
www.knowledgestorm.com	12.129.71.103
yahoo.knowledgestorm.com	12.129.71.104
productfinder.infoworld.com	12.129.71.107
knowledgestorm.techtarget.com	12.129.71.108
www.publix.com	12.129.71.200
download.microsoft.com	12.129.72.137
download.microsoft.com	12.129.72.143
search.msn.com	12.129.72.224
media.msnbc.msn.com	12.129.72.238
www.footsmart.com	12.129.73.2
ebmhost224.ebm.bestsoftwarehost.com	12.129.78.224
updates.peachtree.com	12.129.78.77
www.jacksonsmodels.sagenet.co.uk	12.129.78.84
cingular.qpass.com	12.129.8.21
www.goodrich.com	12.129.98.40
www.iuniverse.com	12.13.112.150
www.animetheme.com	12.13.136.133
www.theaudiowarehouse.com	12.13.144.134
www.carolinaskiff.com	12.13.154.210
at1.formerinfatuation.com	12.13.212.1
at2.calamitygrowing.com	12.13.213.1
www.tandt.com	12.13.86.15
banknorthct.com	12.130.11.180
s0b.bluestreak.com	12.130.12.31
infoweb.newsbank.com	12.130.28.213
www.phcs.com	12.130.29.52
hq.jpl.aspdeploy.com	12.130.29.72
www.upromise.com	12.130.31.18
vd01.upromise.com	12.130.31.20
vd02.upromise.com	12.130.31.21
www.jjill.com	12.130.5.70
resweb.passkey.com	12.130.6.168
www.stonewallkitchen.com	12.130.6.203
www.mantelcraft.com	12.130.65.122
www.pch.com	12.130.81.70
sb.pch.com	12.130.81.71
www.thomasregister.com	12.130.84.21
ae.charlotte.com	12.130.86.75
herald.com	12.130.86.86
jayski.thatsracin.com	12.130.86.87
www.blackvoices.com	12.130.91.10
images.chicagotribune.com	12.130.91.11
careers.ctnow.com	12.130.91.12
www.dailypress.com	12.130.91.13
images.latimes.com	12.130.91.15
www.mcall.com	12.130.91.16
www.newsday.com	12.130.91.17
www.orlandosentinel.com	12.130.91.18
www.stamfordadvocate.com	12.130.91.19
www.sun-sentinel.com	12.130.91.20
www.baltimoresun.com	12.130.91.21
snsimages.tribune.com	12.130.91.22
new.blackvoices.com	12.130.91.23
chicagosports.com	12.130.91.25
tv.trb.com	12.130.91.26
bc.images.trb.com	12.130.91.27
images.calendarlive.com	12.130.91.35
www.showtimeinteractive.com	12.130.91.39
trbdemo.tribuneinteractive.com	12.130.91.43
events.calendarlive.com	12.130.91.47
te.trb.com	12.130.91.50
te.calendarlive.com	12.130.91.51
www.nynewsday.com	12.130.91.53
entertainment.metromix.chicagotribune.com	12.130.91.66
metromix.chicagotribune.com	12.130.91.67
adserver.trb.com	12.130.91.7
ad2.hotels.com	12.14.172.204
ww2.basspro.com	12.14.224.138
image.basspro-shops.com	12.14.224.176
media.basspro.com	12.14.224.30
content.basspro.com	12.14.224.31
www.internationalwine.com	12.144.105.109
www.culligan.com	12.144.115.163
stockcharts.com	12.144.129.60
www.scottrade.com	12.144.145.161
www.ruthiefoster.com	12.144.195.8
unitednebank.com	12.145.177.39
www.kohls.com	12.145.180.2
campaign.kohls.com	12.145.180.50
www.armyrotc.com	12.145.194.47
www.goarmy.com	12.145.194.62
www.emedco.com	12.145.213.100
www.crossingpointe.com	12.145.220.115
www.blair.com	12.145.220.120
newsletters.pbimedia.com	12.145.52.106
www.telecomweb.com	12.145.52.44
www.pbimedia.com	12.145.52.92
www.biospherics.com	12.145.54.154
www.teachforamerica.org	12.146.1.150
www.sandisk.com	12.146.150.6
www.computermagiconline.com	12.146.226.11
apsn.awcable.com	12.146.39.135
splash.emdbiosciences.com	12.147.2.156
www.grouppublishing.com	12.147.64.230
shop.grouppublishing.com	12.147.64.231
adcontent.cahners.net	12.147.77.146
www.housingzone.com	12.147.77.157
www.instat.com	12.147.77.158
instataffiliate.com	12.147.77.187
swatit.org	12.148.162.4
lockdowncorp.com	12.148.162.75
theproxyconnection.com	12.148.162.81
nmhschool.org	12.148.19.115
www.dairylandinsurance.com	12.148.198.44
www.uconnhuskies.com	12.148.2.25
www.simplestepsdental.com	12.148.21.15
img.intelihealth.com	12.148.21.20
community.intelihealth.com:8080	12.148.21.61
digitalmediastore.adobe.com	12.149.108.195
www.overdrive.com	12.149.108.31
images.contentreserve.com	12.149.108.53
www.hunkhunter.com	12.149.2.69
www.popcouncil.org	12.149.221.170
www.ps.aramark.com	12.149.6.187
www.rhodesfurniture.com	12.149.7.66
ecoserv.deneba.com	12.149.95.234
www.tjp.com	12.149.96.87
www.adgreek.com	12.15.193.120
www.rcisag.com	12.15.60.118
www.maxxbass.com	12.150.100.37
www.bangalorenet.com	12.150.113.45
ecommerce.4watersonline.com	12.150.160.140
www.ceip.org	12.150.189.4
www.stamps.net	12.150.207.32
